"","id","genus","species_host","health_status","growth_form","seq_method","region","authors","Unclassified.class.in.Proteobacteria","Gammaproteobacteria","Alphaproteobacteria","Betaproteobacteria","Deltaproteobacteria","Epsilonproteobacteria","Oligoflexia","Zetaproteobacteria","Acidithiobacillia","Candidatus.Muproteobacteria","Firmicutes","Actinobacteria","Cyanobacteria","Chloroflexi","Tenericutes","Deinococcus.Thermus","Armatimonadetes","Bacteroidetes","Ignavibacteriae","Candidatus.Marinimicrobia","Gemmatimonadetes","Candidatus.Cloacimonetes","Candidatus.Levybacteria","Candidatus.Gottesmanbacteria","Candidatus.Roizmanbacteria","Candidatus.Uhrbacteria","Candidatus.Magasanikbacteria","Candidatus.Wolfebacteria","Candidatus.Nealsonbacteria","Candidatus.Nomurabacteria","Candidatus.Kaiserbacteria","Candidatus.Colwellbacteria","Candidatus.Gracilibacteria","Candidatus.Saccharibacteria","Candidatus.Aminicenantes","Candidatus.Poribacteria","Candidatus.Peregrinibacteria","Candidatus.Dadabacteria","Candidatus.Rokubacteria","Planctomycetes","Verrucomicrobia","Chlamydiae","Candidatus.Omnitrophica","Lentisphaerae","Fusobacteria","Nitrospirae","Spirochaetes","Acidobacteria","Deferribacteres","Nitrospinae","Candidatus.Tectomicrobia","Elusimicrobia","Aquificae","Synergistetes","Thermotogae","Calditrichaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Candidatus.Woesearchaeota","Candidatus.Micrarchaeota","Candidatus.Heimdallarchaeota","Balneolaeota","candidate.division.CPR2","Candidatus.Kerfeldbacteria","Candidatus.Woesebacteria","Candidatus.Doudnabacteria","Candidatus.Bathyarchaeota","Candidatus.Beckwithbacteria","Candidatus.Vogelbacteria","Candidatus.Yanofskybacteria","Candidatus.Azambacteria","Candidatus.Riflebacteria","Candidatus.Melainabacteria","Chlorobi","Fibrobacteres","Candidatus.Parcubacteria","Candidatus.Falkowbacteria","Candidatus.Moranbacteria","candidate.division.WWE3","Candidatus.Diapherotrites","Candidatus.Jacksonbacteria","Candidatus.Adlerbacteria","Thermodesulfobacteria","Candidatus.Pacebacteria","Candidatus.Collierbacteria","Candidatus.Jorgensenbacteria","Candidatus.Bipolaricaulota","candidate.division.WOR.3","Dictyoglomi","Candidatus.Atribacteria","candidate.division.Zixibacteria","Candidatus.Curtissbacteria","Candidatus.Shapirobacteria","Candidatus.Campbellbacteria","Candidatus.Yonathbacteria","Candidatus.Harrisonbacteria","Candidatus.Lloydbacteria","Candidatus.Kuenenbacteria","Candidatus.Hydrogenedentes","Candidatus.Blackburnbacteria","Candidatus.Daviesbacteria","Candidatus.Woykebacteria","Candidatus.Staskawiczbacteria","Candidatus.Buchananbacteria","Candidatus.Veblenbacteria","Candidatus.Wildermuthbacteria","Candidatus.Portnoybacteria","Candidatus.Zambryskibacteria","Candidatus.Komeilibacteria","Candidatus.Terrybacteria","Candidatus.Taylorbacteria","Candidatus.Ryanbacteria","Candidatus.Giovannonibacteria","Candidatus.Firestonebacteria","Candidatus.Berkelbacteria","Caldiserica","Candidatus.Parvarchaeota","Candidatus.Thorarchaeota","Candidatus.Margulisbacteria","Kiritimatiellaeota","Candidatus.Liptonbacteria","Candidatus.Abawacabacteria","Candidatus.Wallbacteria","Coprothermobacterota","Candidatus.Lokiarchaeota","Candidatus.Odinarchaeota","Candidatus.Aenigmarchaeota","Candidatus.Latescibacteria","Candidatus.Handelsmanbacteria","Candidatus.Schekmanbacteria","Candidatus.Fischerbacteria","Candidatus.Lindowbacteria","Candidatus.Eisenbacteria","Candidatus.Chisholmbacteria","Candidatus.Raymondbacteria","Candidatus.Desantisbacteria","Candidatus.Sungbacteria","candidate.division.NC10","Candidatus.Amesbacteria","Candidatus.Fermentibacteria","Candidatus.Spechtbacteria","Candidatus.Tagabacteria","candidate.division.CPR3","Candidatus.Coatesbacteria","Candidatus.Wirthbacteria","Candidatus.Glassbacteria","Candidatus.Niyogibacteria","Candidatus.Andersenbacteria","Nanoarchaeota","Candidatus.Brennerbacteria","Chrysiogenetes","Candidatus.Delongbacteria","Candidatus.Edwardsbacteria","candidate.division.CPR1","Candidatus.Fraserbacteria","Candidatus.Korarchaeota","Candidatus.Verstraetearchaeota","Rhodothermaeota"
"1","mgm4440319","Porites","Porites astreoides","Healthy","massive","454","caribe","Wegley et al. 2007",0.0145661811272958,0.623812539582014,0.08068397720076,0.0131728942368588,0.00658644711842939,0.00291323622545915,0.00265991133628879,0.000126662444585181,0.000126662444585181,0.000126662444585181,0.0558581380620646,0.0388853704876504,0.0195060164661178,0.00671310956301457,0.00139328689043699,0.000379987333755541,0.000379987333755541,0.0600379987333756,0.00113996200126662,0.00113996200126662,0.000253324889170361,0.000253324889170361,0.0130462317922736,0.000126662444585181,0.000126662444585181,0.000379987333755541,0.000253324889170361,0.000253324889170361,0.000126662444585181,0.000126662444585181,0.000126662444585181,0.000126662444585181,0.000253324889170361,0.000506649778340722,0.000379987333755541,0.000379987333755541,0.000379987333755541,0.000253324889170361,0.000253324889170361,0.00785307156428119,0.00303989867004433,0.00113996200126662,0.000759974667511083,0.000126662444585181,0.00240658644711843,0.00189993666877771,0.00151994933502217,0.0012666244458518,0.00101329955668144,0.000506649778340722,0.000253324889170361,0.000506649778340722,0.000253324889170361,0.000253324889170361,0.000126662444585181,0.000126662444585181,0.0122862571247625,0.00987967067764408,0.000506649778340722,0.00607979734008866,0.000126662444585181,0.000253324889170361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","mgm4445755","Acropora","Acropora millepora","Bleached","branching","454","australia","Littman et al. 2011",0.00263620386643234,0.104569420035149,0.0896309314586995,0.0283391915641476,0.0538224956063269,0.0105448154657293,0.00505272407732865,0,0,0,0.165751318101933,0.0293277680140598,0.0358084358523726,0.0173550087873462,0.00768892794376098,0.000219683655536028,0.000219683655536028,0.133677504393673,0.00307557117750439,0.00571177504393673,0.00131810193321617,0.00164762741652021,0.00219683655536028,0.00186731107205624,0.00263620386643234,0.00054920913884007,0.000878734622144112,0.00054920913884007,0.000219683655536028,0.00164762741652021,0.000439367311072056,0,0,0.000439367311072056,0.00054920913884007,0.000988576449912127,0.00329525483304042,0,0,0.00483304042179262,0.00604130052724077,0.0070298769771529,0.0015377855887522,0.165202108963093,0.0023066783831283,0.000768892794376098,0.0070298769771529,0.00197715289982425,0.000659050966608084,0.000109841827768014,0,0.00362478031634446,0.00241652021089631,0.00724956063268893,0.00307557117750439,0.000109841827768014,0.0277899824253076,0.00340509666080844,0.0015377855887522,0.0023066783831283,0,0.000988576449912127,0.000988576449912127,0,0,0.000988576449912127,0.000659050966608084,0.000219683655536028,0.00164762741652021,0,0.000439367311072056,0.000329525483304042,0,0.00318541300527241,0.000439367311072056,0.00054920913884007,0.0023066783831283,0.0023066783831283,0.000219683655536028,0.000659050966608084,0.000219683655536028,0,0.000109841827768014,0.00186731107205624,0.00054920913884007,0.000768892794376098,0,0,0,0,0.000439367311072056,0.000219683655536028,0.000329525483304042,0.00450351493848858,0,0,0,0,0.00054920913884007,0.000109841827768014,0.00285588752196837,0.00274604569420035,0.000109841827768014,0.00208699472759227,0.00142794376098418,0.000329525483304042,0.000219683655536028,0.000219683655536028,0.000219683655536028,0.000109841827768014,0.000109841827768014,0.000109841827768014,0.000109841827768014,0.000109841827768014,0.000988576449912127,0.000439367311072056,0.000329525483304042,0.000109841827768014,0.000109841827768014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","mgm4445756","Acropora","Acropora millepora","Healthy","branching","454","australia","Littman et al. 2011",0.00460395521607199,0.150151721251439,0.13811865648216,0.0240661295385581,0.0296118028670085,0.0159045725646123,0.00627812074918908,0,0,0,0.113843256251962,0.020089986397405,0.0668619859788637,0.0216595165847023,0.00669666213246835,0.000104635345819818,0.00052317672909909,0.114157162289421,0.00272051899131527,0.00596421471172962,0.00156953018729727,0.000418541383279272,0.0017788008789369,0.000209270691639636,0.00052317672909909,0.000209270691639636,0.00376687244951345,0.00052317672909909,0,0.00261588364549545,0.000313906037459454,0.000104635345819818,0.000313906037459454,0.000418541383279272,0.000627812074918908,0.000104635345819818,0.00376687244951345,0.000104635345819818,0,0.00418541383279272,0.00502249659935126,0.0179972794810087,0.001150988804018,0.11478497436434,0.00272051899131527,0.000837082766558543,0.00596421471172962,0.00104635345819818,0.000209270691639636,0.000732447420738726,0.000104635345819818,0.00188343622475672,0,0.00648739144082871,0.00209270691639636,0.000104635345819818,0.0308674270168463,0.00188343622475672,0.00188343622475672,0.00104635345819818,0,0.00596421471172962,0.00052317672909909,0,0.000732447420738726,0.00104635345819818,0,0.000104635345819818,0.00136025949565763,0,0.000313906037459454,0,0.000104635345819818,0.000313906037459454,0.000418541383279272,0.000104635345819818,0.000104635345819818,0.00251124829967563,0.000418541383279272,0.000209270691639636,0.00052317672909909,0,0.000209270691639636,0.0123469708067385,0.00052317672909909,0.000313906037459454,0.000313906037459454,0,0.000209270691639636,0.000104635345819818,0.00146489484147745,0.000313906037459454,0.000104635345819818,0.0217641519305221,0.000104635345819818,0,0.000104635345819818,0,0.00052317672909909,0,0.000627812074918908,0.000941718112378361,0,0.000732447420738726,0.00104635345819818,0.00052317672909909,0,0.000209270691639636,0.000104635345819818,0.000104635345819818,0,0.000104635345819818,0,0.000209270691639636,0.000209270691639636,0.000313906037459454,0.000104635345819818,0,0,0.000104635345819818,0.000209270691639636,0.000209270691639636,0.000104635345819818,0.000104635345819818,0.00052317672909909,0.000209270691639636,0.000104635345819818,0.000313906037459454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","mgm4480739","Mussismilia","Mussismilia hispida","Healthy","massive","454","brazil","Meirelles et al. 2015",0.0300245098039216,0.10906862745098,0.136642156862745,0.0894607843137255,0.0441176470588235,0.00245098039215686,0,0.000612745098039216,0,0.00122549019607843,0.0784313725490196,0.161764705882353,0.0147058823529412,0.0600490196078431,0.00428921568627451,0.00183823529411765,0.00490196078431373,0.0459558823529412,0.00245098039215686,0.00245098039215686,0.0079656862745098,0,0.00122549019607843,0.00122549019607843,0.000612745098039216,0.00183823529411765,0.000612745098039216,0.000612745098039216,0,0.000612745098039216,0.00183823529411765,0.000612745098039216,0,0.000612745098039216,0.00122549019607843,0.00612745098039216,0,0,0.00428921568627451,0.0238970588235294,0.0165441176470588,0,0,0.045343137254902,0.000612745098039216,0.00367647058823529,0.00674019607843137,0.0373774509803922,0,0,0.000612745098039216,0.00367647058823529,0.00183823529411765,0.00122549019607843,0,0,0.0134803921568627,0.00367647058823529,0.000612745098039216,0.00122549019607843,0.000612745098039216,0,0,0,0.000612745098039216,0.00122549019607843,0.00122549019607843,0,0.000612745098039216,0,0,0,0,0,0.000612745098039216,0.00122549019607843,0,0.000612745098039216,0.000612745098039216,0,0,0.000612745098039216,0,0,0.000612745098039216,0,0,0.000612745098039216,0,0,0,0.00122549019607843,0.000612745098039216,0,0,0,0,0,0,0.00122549019607843,0,0,0.000612745098039216,0,0,0,0,0,0,0,0,0,0,0.000612745098039216,0,0.000612745098039216,0,0,0,0,0.000612745098039216,0,0,0,0,0,0,0,0.00122549019607843,0.00122549019607843,0.000612745098039216,0.000612745098039216,0.000612745098039216,0.000612745098039216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","mgm4480740","Mussismilia","Mussismilia hispida","Healthy","massive","454","brazil","Meirelles et al. 2015",0.00889877641824249,0.124582869855395,0.0767519466073415,0.0289210233592881,0.0289210233592881,0.0122358175750834,0.00556173526140156,0.00111234705228031,0,0.00222469410456062,0.204671857619577,0.0422691879866518,0.0222469410456062,0.0122358175750834,0.00778642936596218,0,0.00111234705228031,0.125695216907675,0.00222469410456062,0.00556173526140156,0.00222469410456062,0,0.00222469410456062,0,0.00111234705228031,0.00111234705228031,0.00111234705228031,0,0,0.00222469410456062,0,0,0,0,0,0.00444938820912125,0.00222469410456062,0,0,0.00667408231368187,0.00667408231368187,0.00222469410456062,0.00333704115684093,0.167964404894327,0.00333704115684093,0.00333704115684093,0.00667408231368187,0.00333704115684093,0.00222469410456062,0.00111234705228031,0,0.00111234705228031,0,0.00111234705228031,0,0,0.0200222469410456,0.00444938820912125,0.00111234705228031,0,0.00222469410456062,0,0,0,0,0.00111234705228031,0,0.00111234705228031,0.00889877641824249,0,0.00111234705228031,0.00111234705228031,0,0,0.00222469410456062,0.00222469410456062,0,0.00222469410456062,0.00111234705228031,0,0,0,0,0.00111234705228031,0,0,0,0,0.00111234705228031,0,0,0,0,0.00111234705228031,0,0,0,0,0.00111234705228031,0,0,0.00222469410456062,0,0.00111234705228031,0,0,0,0,0,0,0.00111234705228031,0.00222469410456062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111234705228031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","mgm4480741","Mussismilia","Mussismilia hispida","Bleached","massive","454","brazil","Meirelles et al. 2015",0.0179063360881543,0.12396694214876,0.0743801652892562,0.046831955922865,0.0358126721763085,0.0068870523415978,0.00413223140495868,0,0,0,0.216253443526171,0.0330578512396694,0.0289256198347107,0.00550964187327824,0.00137741046831956,0,0,0.12396694214876,0,0.0068870523415978,0,0,0.00137741046831956,0.00137741046831956,0,0.00137741046831956,0,0.00137741046831956,0,0.00137741046831956,0,0,0,0.00413223140495868,0.00275482093663912,0.00275482093663912,0.00413223140495868,0,0,0.00964187327823691,0.00275482093663912,0.00275482093663912,0.00137741046831956,0.15564738292011,0.00413223140495868,0,0.00413223140495868,0.00137741046831956,0,0.00137741046831956,0,0.00275482093663912,0.00275482093663912,0,0.00137741046831956,0.00137741046831956,0.0220385674931129,0.00550964187327824,0.00275482093663912,0.00137741046831956,0,0,0,0,0,0.00137741046831956,0,0,0.00550964187327824,0,0.00137741046831956,0,0,0,0,0.00137741046831956,0,0.00137741046831956,0,0,0,0,0,0,0,0,0.00275482093663912,0,0.00137741046831956,0,0,0,0,0,0,0,0,0,0,0,0,0.00137741046831956,0,0.00275482093663912,0,0,0,0,0.00137741046831956,0,0.00137741046831956,0,0,0,0.00137741046831956,0,0,0,0,0,0,0,0,0,0,0.00137741046831956,0,0,0,0,0.00137741046831956,0,0,0,0.00137741046831956,0.00137741046831956,0.00137741046831956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","mgm4480742","Mussismilia","Mussismilia hispida","Bleached","massive","454","brazil","Meirelles et al. 2015",0.0244031830238727,0.123607427055703,0.158620689655172,0.0673740053050398,0.036604774535809,0.00530503978779841,0.00159151193633952,0.000530503978779841,0,0.000530503978779841,0.073209549071618,0.10132625994695,0.0875331564986737,0.0312997347480106,0.00477453580901857,0.0026525198938992,0.00371352785145889,0.0610079575596817,0.00424403183023873,0.00318302387267905,0.0111405835543767,0.00159151193633952,0.00212201591511936,0.000530503978779841,0.00106100795755968,0.00106100795755968,0,0.000530503978779841,0.00106100795755968,0.000530503978779841,0,0,0,0.000530503978779841,0.000530503978779841,0.00371352785145889,0.00106100795755968,0,0.0026525198938992,0.0228116710875332,0.010079575596817,0,0.00106100795755968,0.0259946949602122,0.00159151193633952,0.0026525198938992,0.00795755968169761,0.0291777188328912,0.00106100795755968,0.00106100795755968,0.000530503978779841,0.00212201591511936,0,0.000530503978779841,0.00212201591511936,0,0.0122015915119363,0.0371352785145889,0.00159151193633952,0.000530503978779841,0,0.000530503978779841,0.00106100795755968,0,0,0.000530503978779841,0,0.000530503978779841,0.000530503978779841,0,0,0,0,0,0.00106100795755968,0,0,0.000530503978779841,0.000530503978779841,0,0.000530503978779841,0,0,0.000530503978779841,0,0,0,0.000530503978779841,0,0,0,0,0.000530503978779841,0.000530503978779841,0,0,0,0,0,0,0,0.000530503978779841,0.000530503978779841,0.000530503978779841,0.00106100795755968,0,0,0.000530503978779841,0,0,0.000530503978779841,0.000530503978779841,0,0,0,0.000530503978779841,0,0,0,0,0,0.00106100795755968,0,0,0,0,0,0,0,0.00106100795755968,0.00159151193633952,0,0.000530503978779841,0.000530503978779841,0.000530503978779841,0.000530503978779841,0,0.00106100795755968,0.000530503978779841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","mgm4480743","Mussismilia","Mussismilia hispida","Bleached","massive","454","brazil","Meirelles et al. 2015",0.0140280561122244,0.115230460921844,0.06312625250501,0.0240480961923848,0.0370741482965932,0.0130260521042084,0.00601202404809619,0.0030060120240481,0,0,0.159318637274549,0.0501002004008016,0.0290581162324649,0.0120240480961924,0.00601202404809619,0.00100200400801603,0.00200400801603206,0.123246492985972,0.00801603206412826,0.00601202404809619,0.0030060120240481,0.0030060120240481,0.00100200400801603,0,0,0,0,0.00100200400801603,0.00100200400801603,0.00100200400801603,0,0,0,0,0,0.00701402805611222,0.00200400801603206,0,0,0.00601202404809619,0.0120240480961924,0.00100200400801603,0.0030060120240481,0.198396793587174,0.0030060120240481,0.00100200400801603,0.0150300601202405,0.00200400801603206,0.00200400801603206,0.00100200400801603,0,0.00200400801603206,0,0.0030060120240481,0.00200400801603206,0,0.0200400801603206,0.00601202404809619,0.0030060120240481,0,0,0.00100200400801603,0,0,0,0.00100200400801603,0,0,0.00400801603206413,0,0,0,0,0,0.00100200400801603,0.00200400801603206,0,0.00200400801603206,0.00100200400801603,0,0,0,0,0,0,0,0,0,0.00200400801603206,0,0,0,0,0,0,0,0,0.0030060120240481,0,0,0,0.00100200400801603,0,0,0.00100200400801603,0,0,0,0,0.00100200400801603,0.00100200400801603,0.00100200400801603,0,0,0,0.00100200400801603,0,0,0,0,0,0.00100200400801603,0,0,0,0,0,0,0,0,0,0,0,0,0.0030060120240481,0,0,0.00100200400801603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","mgm4484839","Mussismilia","Mussismilia hispida","Healthy","massive","454","brazil","Meirelles et al. 2015",0.0190703218116806,0.100119189511323,0.0762812872467223,0.0441001191895113,0.0286054827175209,0.0119189511323004,0.00357568533969011,0,0,0.00238379022646007,0.185935637663886,0.0595947556615018,0.0274135876042908,0.0107270560190703,0.00595947556615018,0.00119189511323004,0,0.109654350417163,0.00715137067938021,0.00595947556615018,0.00119189511323004,0.00357568533969011,0.00119189511323004,0.00119189511323004,0.00238379022646007,0,0.00357568533969011,0,0,0.00119189511323004,0.00119189511323004,0,0,0,0,0.00119189511323004,0.00476758045292014,0,0,0.0107270560190703,0.00357568533969011,0.00119189511323004,0.00119189511323004,0.178784266984505,0.00238379022646007,0.00476758045292014,0.00119189511323004,0.00357568533969011,0.00238379022646007,0.00119189511323004,0,0.00357568533969011,0,0,0.00119189511323004,0,0.0274135876042908,0.00119189511323004,0.00119189511323004,0.00119189511323004,0,0,0,0,0,0.00238379022646007,0,0.00119189511323004,0.00238379022646007,0,0.00357568533969011,0,0,0,0.00238379022646007,0.00357568533969011,0,0.00238379022646007,0,0.00119189511323004,0,0,0,0.00119189511323004,0,0,0,0,0,0,0.00119189511323004,0,0.00119189511323004,0.00119189511323004,0,0,0,0,0.00119189511323004,0,0,0,0,0,0,0,0.00119189511323004,0,0.00119189511323004,0,0,0.00119189511323004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119189511323004,0,0,0,0,0,0,0.00119189511323004,0,0.00119189511323004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","mgm4486661","Madracis","Madracis decactis","Healthy","nodular","454","brazil","Moreira et al. 2015",0.0203094777562863,0.144100580270793,0.0889748549323017,0.0454545454545455,0.02321083172147,0.0106382978723404,0.00483558994197292,0,0,0.000967117988394584,0.136363636363636,0.0667311411992263,0.0367504835589942,0.0241779497098646,0.0106382978723404,0.00193423597678917,0,0.136363636363636,0.00290135396518375,0.00193423597678917,0.00193423597678917,0,0.000967117988394584,0.000967117988394584,0.00290135396518375,0.000967117988394584,0.00290135396518375,0,0,0,0.00386847195357834,0,0,0.000967117988394584,0,0.00386847195357834,0,0,0.000967117988394584,0.0183752417794971,0.0106382978723404,0.00193423597678917,0.000967117988394584,0.086073500967118,0.00290135396518375,0.00290135396518375,0.00676982591876209,0.011605415860735,0,0.000967117988394584,0,0.00290135396518375,0,0.00193423597678917,0.00193423597678917,0,0.0203094777562863,0.0106382978723404,0.00290135396518375,0,0,0,0.00193423597678917,0,0.000967117988394584,0.000967117988394584,0.00193423597678917,0,0.00290135396518375,0,0,0.00290135396518375,0.000967117988394584,0.000967117988394584,0,0,0,0.00193423597678917,0.0106382978723404,0.000967117988394584,0,0,0,0.000967117988394584,0,0,0,0,0,0,0.00193423597678917,0,0,0,0,0,0,0,0,0,0,0,0,0.000967117988394584,0,0,0,0,0,0,0,0.00290135396518375,0,0,0,0,0,0,0,0,0,0.000967117988394584,0,0,0,0.000967117988394584,0,0,0,0.00193423597678917,0,0,0,0,0,0,0.000967117988394584,0,0,0,0.000967117988394584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
