statistic,d.f.,p.value,var
1094.5348640115028,429,9.457753386073181e-60,authors
877.2915338423909,363,1.5765546615025556e-44,genus
373.0996780871948,198,7.318301276872938e-13,health_status
103.22055068076197,33,3.7026696238862264e-9,seq_method
462.11241380707213,165,5.8137897848917934e-30,growth_form
502.75072090798903,165,8.033395803555781e-36,region
